folioviv,foliohog,est_socio,leche,huevo,pescado,p_leche,p_huevo
100662504,1,4,835.71,372.85,0,18.72,28.5
100662505,1,4,758.56,0,514.28,18.72,28.5
100662506,1,4,1517.13,128.57,0,18.72,28.5
100674301,1,4,244.28,385.71,0,18.72,28.5
100674302,1,4,0,0,0,18.72,28.5
100674304,1,4,880.69,372.85,0,18.72,28.5
100674305,1,4,764.99,514.28,0,18.72,28.5
100674306,1,4,205.71,0,0,18.72,28.5
100699001,1,3,0,0,0,18.72,28.5
100699002,1,3,0,0,0,18.72,28.5
100699003,1,3,1079.97,154.28,0,18.72,28.5
100699004,1,3,797.11,282.85,0,18.72,28.5
100699005,1,3,1157.11,334.28,0,18.72,28.5
100703601,1,3,694.27,167.14,0,18.72,28.5
100703602,1,3,1619.95,308.56,0,18.72,28.5
100703604,1,3,527.13,321.42,0,18.72,28.5
100703606,1,3,8202.82,1748.56,2005.71,18.72,28.5
100725701,1,3,0,282.85,0,18.72,28.5
100725703,1,3,1330.69,539.99,0,18.72,28.5
100725704,1,3,0,0,0,18.72,28.5
100725705,1,3,565.7,334.28,0,18.72,28.5
100732701,1,2,141.42,282.85,0,18.72,28.5
100732702,1,2,282.84,359.99,0,18.72,28.5
100732704,1,2,0,0,0,18.72,28.5
100732705,1,2,822.84,437.14,0,18.72,28.5
100732706,1,2,0,359.99,0,18.72,28.5
100733201,1,2,1311.4,0,0,18.72,28.5
100733202,1,2,514.27,0,0,18.72,28.5
100733203,1,2,0,0,0,18.72,28.5
100733204,1,2,2468.53,257.14,0,18.72,28.5
100733205,1,2,179.99,147.85,0,18.72,28.5
100733206,1,2,874.27,0,0,18.72,28.5
100736201,1,3,2789.96,655.69,0,18.72,28.5
100736202,1,3,0,591.42,0,18.72,28.5
100736203,1,3,244.28,0,0,18.72,28.5
100736204,1,3,115.71,0,0,18.72,28.5
100736205,1,3,257.14,0,0,18.72,28.5
100736206,1,3,1144.25,0,0,18.72,28.5
100737501,1,2,359.98,102.85,167.14,18.72,28.5
100737502,1,2,1337.11,565.7,0,18.72,28.5
100737503,1,2,437.12,321.42,0,18.72,28.5
100737504,1,2,848.55,0,0,18.72,28.5
100737505,1,2,102.85,527.13,0,18.72,28.5
100737506,1,2,0,295.71,0,18.72,28.5
100743301,1,2,0,0,0,18.72,28.5
100743302,1,2,0,0,0,18.72,28.5
100743303,1,2,0,321.42,0,18.72,28.5
100743304,1,2,2314.26,771.42,0,18.72,28.5
